# Ручная проверка листа «Возможные пропуски».
#
# Формат:  наименование | вариант поиска | вердикт | комментарий
# Вердикт: «пропуск» | «пограничное» | «ложное»
#
# «Пропуск» означает: объект действительно назван в учебнике, но записан не
# так, как в списке (другой порядок слов, вставлено слово, перечисление с
# общим словом). В основной подсчёт такие вхождения НЕ добавляются: дословно
# фразы в тексте нет, подсветить её нельзя, а числа в Excel должны совпадать
# с тем, что реально выделено в docx.
#
# Файл читается при сборке отчёта; строки без вердикта помечаются как
# «не проверено».

# --------------------------------------------------------------------------
# Настоящие пропуски
# --------------------------------------------------------------------------
Золотые ворота в Киеве | Золотые ворота в Киеве | пропуск | другой порядок: «Парадным въездом в Киев служили Золотые ворота»
Киево-Печерская лавра | Киево-Печерская лавра | пропуск | перечисление с общим словом: «Киево-Печерская, Александро-Невская и Троице-Сергиева лавры»
Новгородский детинец | Новгородский детинец | пропуск | обратный порядок: «стояли Детинец, Новгородский кремль»
Оренбургский платок | Оренбургский платок | пропуск | вставлено слово: «знаменитых оренбургских пуховых платков»
Софийский собор в Новгороде | Софийский собор в Новгороде | пропуск | вставлено слово: «строительство Софийского собора в Великом Новгороде»
Степан Разин | Степан Разин | пропуск | роман А. Чапыгина «Разин Степан» — обратный порядок
Холодная война | Холодная война | пропуск | инверсия: «бывшие союзники по войне горячей стали противниками в войне холодной»

# Эллипсис: слово единицы опущено, но подразумевается и восстанавливается
# однозначно. По решению заказчика такие случаи засчитываются.
Детский сад | Детский сад | пропуск | эллипсис: «сети родильных домов, детских яслей и [детских] садов»
Русский язык | Русский язык | пропуск | эллипсис: «перешло в другие языки, включая русский [язык]»

# --------------------------------------------------------------------------
# Пограничные: объект назван, но словосочетания в тексте нет — НЕ засчитываются
# --------------------------------------------------------------------------
Дымковская игрушка | Дымковская игрушка | пограничное | промысел описан («в слободе Дымково… Дымковские барыни»), самого словосочетания нет

# --------------------------------------------------------------------------
# Ложные срабатывания
# --------------------------------------------------------------------------
Александр I | Александр I | ложное | «Александру Невскому… Петру I» — имя и номер из разных перечислений
Александр III | Александр III | ложное | «Александр Македонский, Дарий III»
Бок о бок | Бок о бок | ложное | «у них под боком»
Большой театр | Большой театр | ложное | «частные театры… публичный Большой Каменный» — другой театр
В землянке | В землянке | ложное | «увидеть землянку или полуземлянку»; единица — песня
Взять себя в руки | Взять себя в руки | ложное | «взять на себя роль», «взять в свои руки власть»
Враг народа | Враг народа | ложное | «врагов собственного народа», «враг партии и советского народа» — формулы в тексте нет
Время – деньги | Время – деньги | ложное | «указывая время… не тратить деньги»
День Победы | День Победы | ложное | «торжествовали победу, но спустя 3 дня»
День рождения | День рождения | ложное | «к рождению массового спорта… рабочего дня»
Золотые руки | Золотые руки | ложное | «украшенном золотом… держал в руках скипетр»
Из рук в руки | Из рук в руки | ложное | «из рук царя в руки российской демократии» и т. п. — буквальные обороты
Лицом к лицу | Лицом к лицу | ложное | «обратившись лицом к Мекке», «должностным лицам», «перед лицом угрозы»
Мертвые души | Мертвые души | ложное | «вместилищем душ… живых, мёртвых»
На дне | На дне | ложное | «на сегодняшний день», «на 6–7-часовой рабочий день»
Не ждали | Не ждали | ложное | «Не всегда нужно ждать», «ждать поддержки не приходилось»
Николай II | Николай II | ложное | «города Херсон, Екатеринослав, Николаев… Екатерины II»
Новый стиль | Новый стиль | ложное | «Новый архитектурный стиль», «новый реализм, суровый стиль»; единица — календарный стиль
Ольга Мудрая | Ольга Мудрая | ложное | «Ольга проявила себя как мудрая правительница» — прозвища в тексте нет
Отцы и дети | Отцы и дети | ложное | «заставил отца вернуть… детей», «отец с детьми»
Отче наш | Отче наш | ложное | «наши отцы, матери», «наших отцов и дедов»
Преступление и наказание | Преступление и наказание | ложное | «понятие государственных преступлений и… наказания» — юридические обороты
Пушкинский музей | Пушкинский музей | ложное | «Пушкинская выставка в Государственном историческом музее», «Пушкинская карта… музеи»
Рyкa рyкy мoeт | Рyкa рyкy мoeт | ложное | «стали мыть руки перед едой», «Руки мой часто»
Рука об руку | Рука об руку | ложное | «Правая рука философа», «не имея под руками текста»
Рукой подать | Рукой подать | ложное | «поданный нам рукою провидения»
Русский Север | Русский Север | ложное | «центрами русской государственности на севере и юге»
Священная война | Священная война | ложное | «Священной Римской империи», «антитурецкой Священной лиги»
Собаку съесть | Собаку съесть | ложное | «съели всех лошадей, переловили всех собак»
Судьба человека | Судьба человека | ложное | «человек — творец своей судьбы», «над судьбой бедняков»
Тысячелетие России | Тысячелетие России | ложное | «Россия должна войти в новое тысячелетие»
Тёмная ночь | Тёмная ночь | ложное | «холодными ночами… освещения тёмной пещеры»
Эскадренный броненосец «Пётр Великий» | Пётр Великий | ложное | «Великое посольство царя Петра», «Великой Отечественной войны… Пётр I»
